%time,field.yaw_mode,field.pitch_mode,field.yaw_angle,field.pitch_angle
1553437943756328205,1,0,0.00522491410375,0.110920667648
1553437943767500545,1,0,0.00522491410375,0.110920667648
1553437943778999976,1,0,0.00522491410375,0.110920667648
1553437943790196746,1,0,0.00522491410375,0.110920667648
1553437943801654014,1,0,0.00522491410375,0.110920667648
1553437943813028496,1,0,0.00522491410375,0.110920667648
1553437943824506376,1,0,0.00944314198568,0.111468076706
1553437943857767561,1,0,0.00944314198568,0.111468076706
1553437943873240747,1,0,0.00944314198568,0.111468076706
1553437943883297238,1,0,0.00944314198568,0.111468076706
1553437943890269670,1,0,0.00944314198568,0.111468076706
1553437943900909472,1,0,0.00944314198568,0.111468076706
1553437943911158908,1,0,0.00944314198568,0.111468076706
1553437943922595279,1,0,0.0151376754045,0.130577996373
1553437943933725399,1,0,0.0151376754045,0.130577996373
1553437943945041877,1,0,0.0151376754045,0.130577996373
1553437943956584570,1,0,0.0151376754045,0.130577996373
1553437943967850380,1,0,0.0151376754045,0.130577996373
1553437943978989463,1,0,0.0151376754045,0.130577996373
1553437943990638206,1,0,0.0151376754045,0.130577996373
1553437944001943830,1,0,0.0151376754045,0.130577996373
1553437944013363160,1,0,0.0151376754045,0.130577996373
1553437944024599895,1,0,0.0175366045907,0.133835315704
1553437944058871858,1,0,0.0175366045907,0.133835315704
1553437944078999434,1,0,0.0175366045907,0.133835315704
1553437944089159896,1,0,0.0175366045907,0.133835315704
1553437944097708896,1,0,0.0175366045907,0.133835315704
1553437944106117023,1,0,0.0175366045907,0.133835315704
1553437944113132517,1,0,0.0175366045907,0.133835315704
1553437944125070739,1,0,0.0195733368397,0.136495560408
1553437944135745975,1,0,0.0195733368397,0.136495560408
1553437944147158522,1,0,0.0195733368397,0.136495560408
1553437944159133324,1,0,0.0195733368397,0.136495560408
1553437944166958777,1,0,0.0195733368397,0.136495560408
1553437944175638798,1,0,0.0195733368397,0.136495560408
1553437944184483411,1,0,0.0195733368397,0.136495560408
1553437944193191805,1,0,0.0195733368397,0.136495560408
1553437944200910672,1,0,0.0195733368397,0.136495560408
1553437944212030793,1,0,0.0195733368397,0.136495560408
1553437944220503057,1,0,0.0195733368397,0.136495560408
1553437944228056040,1,0,0.0197399038821,0.14179508388
1553437944235103591,1,0,0.0197399038821,0.14179508388
1553437944246493227,1,0,0.0197399038821,0.14179508388
